Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party","Bond
Number",Denominations
42,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5458,"1,00,00,000"
43,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5454,"1,00,00,000"
44,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5474,"1,00,00,000"
45,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5459,"1,00,00,000"
46,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5475,"1,00,00,000"
47,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5464,"1,00,00,000"
48,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5453,"1,00,00,000"
49,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5472,"1,00,00,000"
50,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5471,"1,00,00,000"
51,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5468,"1,00,00,000"
52,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5450,"1,00,00,000"
53,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5462,"1,00,00,000"
54,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5457,"1,00,00,000"
55,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5466,"1,00,00,000"
56,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,10876,"10,00,000"
57,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,10877,"10,00,000"
58,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,10885,"10,00,000"
59,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,10856,"10,00,000"
60,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,10870,"10,00,000"
61,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4274,"1,00,00,000"
62,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4276,"1,00,00,000"
63,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5827,"1,00,00,000"
64,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5847,"1,00,00,000"
65,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4303,"1,00,00,000"
66,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4301,"1,00,00,000"
67,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5831,"1,00,00,000"
68,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4321,"1,00,00,000"
69,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5861,"1,00,00,000"
70,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4325,"1,00,00,000"
71,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5843,"1,00,00,000"
72,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5837,"1,00,00,000"
73,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5817,"1,00,00,000"
74,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4319,"1,00,00,000"
75,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4293,"1,00,00,000"
76,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4305,"1,00,00,000"
77,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5801,"1,00,00,000"
78,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5825,"1,00,00,000"
79,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4313,"1,00,00,000"
80,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5805,"1,00,00,000"
81,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5829,"1,00,00,000"
82,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5821,"1,00,00,000"
83,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5839,"1,00,00,000"
84,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5841,"1,00,00,000"
85,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5813,"1,00,00,000"
86,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5833,"1,00,00,000"
87,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4327,"1,00,00,000"
88,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4311,"1,00,00,000"
89,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4347,"1,00,00,000"
90,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4317,"1,00,00,000"
91,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5809,"1,00,00,000"
92,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5855,"1,00,00,000"
93,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4333,"1,00,00,000"
94,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4335,"1,00,00,000"
95,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4337,"1,00,00,000"
96,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4343,"1,00,00,000"
97,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4295,"1,00,00,000"
98,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4331,"1,00,00,000"
99,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5819,"1,00,00,000"
100,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5853,"1,00,00,000"
101,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5857,"1,00,00,000"
102,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4349,"1,00,00,000"
103,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5803,"1,00,00,000"
104,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5849,"1,00,00,000"
105,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4299,"1,00,00,000"
106,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4329,"1,00,00,000"
107,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4315,"1,00,00,000"
108,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4339,"1,00,00,000"
109,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5835,"1,00,00,000"
110,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5807,"1,00,00,000"
111,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5811,"1,00,00,000"
112,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4309,"1,00,00,000"
113,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4341,"1,00,00,000"
114,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5815,"1,00,00,000"
115,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4345,"1,00,00,000"
116,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5851,"1,00,00,000"
117,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4297,"1,00,00,000"
118,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5845,"1,00,00,000"
119,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4307,"1,00,00,000"
120,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4323,"1,00,00,000"
121,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5859,"1,00,00,000"
122,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5823,"1,00,00,000"
123,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5856,"1,00,00,000"
124,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5868,"1,00,00,000"
125,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5870,"1,00,00,000"
126,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5846,"1,00,00,000"
127,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5866,"1,00,00,000"
128,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5848,"1,00,00,000"
129,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5852,"1,00,00,000"
130,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5874,"1,00,00,000"
131,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5872,"1,00,00,000"
132,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5850,"1,00,00,000"
133,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5858,"1,00,00,000"
134,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5864,"1,00,00,000"
135,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5862,"1,00,00,000"
136,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5860,"1,00,00,000"
137,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5854,"1,00,00,000"
138,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5818,"1,00,00,000"
139,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5840,"1,00,00,000"
140,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5844,"1,00,00,000"
141,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5836,"1,00,00,000"
142,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5820,"1,00,00,000"
143,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5828,"1,00,00,000"
144,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5832,"1,00,00,000"
145,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5842,"1,00,00,000"
146,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5830,"1,00,00,000"
147,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5834,"1,00,00,000"
148,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5824,"1,00,00,000"
149,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5822,"1,00,00,000"
150,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5826,"1,00,00,000"
151,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5838,"1,00,00,000"
152,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5802,"1,00,00,000"
153,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4342,"1,00,00,000"
154,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4334,"1,00,00,000"
155,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5804,"1,00,00,000"
156,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4340,"1,00,00,000"
157,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4348,"1,00,00,000"
158,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4346,"1,00,00,000"
159,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4330,"1,00,00,000"
160,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4344,"1,00,00,000"
161,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4338,"1,00,00,000"
162,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4332,"1,00,00,000"
163,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4336,"1,00,00,000"
164,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5806,"1,00,00,000"
165,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4350,"1,00,00,000"
166,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6603,"1,00,00,000"
167,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5886,"1,00,00,000"
168,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5896,"1,00,00,000"
169,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5890,"1,00,00,000"
170,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5888,"1,00,00,000"
171,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6609,"1,00,00,000"
172,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5882,"1,00,00,000"
173,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6607,"1,00,00,000"
174,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6611,"1,00,00,000"
175,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5892,"1,00,00,000"
176,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5894,"1,00,00,000"
177,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6605,"1,00,00,000"
178,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5885,"1,00,00,000"
179,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5871,"1,00,00,000"
180,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5875,"1,00,00,000"
181,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5873,"1,00,00,000"
182,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,2588,"1,00,00,000"
183,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,2793,"1,00,00,000"
184,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,2810,"1,00,00,000"
185,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4488,"1,00,00,000"
186,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5148,"1,00,00,000"
187,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4432,"1,00,00,000"
188,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5173,"1,00,00,000"
189,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5107,"1,00,00,000"
190,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5101,"1,00,00,000"
191,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5211,"1,00,00,000"
192,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5102,"1,00,00,000"
193,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5130,"1,00,00,000"
194,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5149,"1,00,00,000"
195,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5216,"1,00,00,000"
196,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5213,"1,00,00,000"
197,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5151,"1,00,00,000"
198,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5215,"1,00,00,000"
199,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5214,"1,00,00,000"
200,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5103,"1,00,00,000"
201,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5128,"1,00,00,000"
202,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5105,"1,00,00,000"
203,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5212,"1,00,00,000"
204,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5126,"1,00,00,000"
205,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5150,"1,00,00,000"
206,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5142,"1,00,00,000"
207,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5127,"1,00,00,000"
208,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5144,"1,00,00,000"
209,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5106,"1,00,00,000"
210,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5123,"1,00,00,000"
211,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5146,"1,00,00,000"
212,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5147,"1,00,00,000"
213,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5108,"1,00,00,000"
214,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5124,"1,00,00,000"
215,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5121,"1,00,00,000"
216,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5143,"1,00,00,000"
217,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5145,"1,00,00,000"
218,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5109,"1,00,00,000"
219,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5129,"1,00,00,000"
220,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5104,"1,00,00,000"
221,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5192,"1,00,00,000"
222,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4433,"1,00,00,000"
223,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5110,"1,00,00,000"
224,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5122,"1,00,00,000"
225,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5125,"1,00,00,000"
226,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,740,"1,00,00,000"
227,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,742,"1,00,00,000"
228,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,744,"1,00,00,000"
229,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6217,"1,00,00,000"
230,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6221,"1,00,00,000"
231,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6233,"1,00,00,000"
232,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6241,"1,00,00,000"
233,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6247,"1,00,00,000"
234,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6214,"1,00,00,000"
235,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6238,"1,00,00,000"
236,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4592,"1,00,00,000"
237,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6203,"1,00,00,000"
238,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6231,"1,00,00,000"
239,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6227,"1,00,00,000"
240,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4574,"1,00,00,000"
241,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6207,"1,00,00,000"
242,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6211,"1,00,00,000"
243,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6243,"1,00,00,000"
244,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6225,"1,00,00,000"
245,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6245,"1,00,00,000"
246,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6230,"1,00,00,000"
247,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6204,"1,00,00,000"
248,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4582,"1,00,00,000"
249,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4584,"1,00,00,000"
250,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6222,"1,00,00,000"
251,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6232,"1,00,00,000"
252,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6246,"1,00,00,000"
253,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6248,"1,00,00,000"
254,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6206,"1,00,00,000"
255,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6210,"1,00,00,000"
256,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6228,"1,00,00,000"
257,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6242,"1,00,00,000"
258,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6215,"1,00,00,000"
259,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6216,"1,00,00,000"
260,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6236,"1,00,00,000"
261,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6202,"1,00,00,000"
262,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6249,"1,00,00,000"
263,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6218,"1,00,00,000"
264,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6224,"1,00,00,000"
265,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4585,"1,00,00,000"
266,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6229,"1,00,00,000"
267,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4575,"1,00,00,000"
268,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6223,"1,00,00,000"
269,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6250,"1,00,00,000"
270,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4594,"1,00,00,000"
271,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6201,"1,00,00,000"
272,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6205,"1,00,00,000"
273,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6208,"1,00,00,000"
274,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4561,"1,00,00,000"
275,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4595,"1,00,00,000"
276,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6220,"1,00,00,000"
277,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4583,"1,00,00,000"
278,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6212,"1,00,00,000"
279,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6219,"1,00,00,000"
280,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6239,"1,00,00,000"
281,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6234,"1,00,00,000"
282,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6235,"1,00,00,000"
283,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6244,"1,00,00,000"
284,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,4593,"1,00,00,000"
285,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6237,"1,00,00,000"
286,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6209,"1,00,00,000"
287,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5708,"1,00,00,000"
288,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5712,"1,00,00,000"
289,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5717,"1,00,00,000"
290,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5720,"1,00,00,000"
291,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5704,"1,00,00,000"
292,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,5722,"1,00,00,000"
293,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6832,"10,00,000"
294,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6838,"10,00,000"
295,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6840,"10,00,000"
296,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6836,"10,00,000"
297,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,6834,"10,00,000"
298,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,12449,"10,00,000"
