Sr No.,Reference No (URN),"Date of
Purchase",Name of the Purchaser,"Bond
Number",Denominations
34,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6273,"1,00,00,000"
35,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6272,"1,00,00,000"
36,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6280,"1,00,00,000"
37,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6251,"1,00,00,000"
38,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,4597,"1,00,00,000"
39,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6279,"1,00,00,000"
40,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6296,"1,00,00,000"
41,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6256,"1,00,00,000"
42,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6286,"1,00,00,000"
43,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6298,"1,00,00,000"
44,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6267,"1,00,00,000"
45,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,4632,"1,00,00,000"
46,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6284,"1,00,00,000"
47,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6254,"1,00,00,000"
48,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6292,"1,00,00,000"
49,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6268,"1,00,00,000"
50,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6258,"1,00,00,000"
51,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6253,"1,00,00,000"
52,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6293,"1,00,00,000"
53,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6281,"1,00,00,000"
54,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6264,"1,00,00,000"
55,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6288,"1,00,00,000"
56,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6300,"1,00,00,000"
57,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6269,"1,00,00,000"
58,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,4598,"1,00,00,000"
59,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6263,"1,00,00,000"
60,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6270,"1,00,00,000"
61,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6283,"1,00,00,000"
62,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6299,"1,00,00,000"
63,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6271,"1,00,00,000"
64,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6252,"1,00,00,000"
65,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6282,"1,00,00,000"
66,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6259,"1,00,00,000"
67,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6295,"1,00,00,000"
68,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6260,"1,00,00,000"
69,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6255,"1,00,00,000"
70,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6265,"1,00,00,000"
71,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6285,"1,00,00,000"
72,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6289,"1,00,00,000"
73,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6291,"1,00,00,000"
74,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6294,"1,00,00,000"
75,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6287,"1,00,00,000"
76,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11440,"10,00,000"
77,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11437,"10,00,000"
78,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11439,"10,00,000"
79,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11445,"10,00,000"
80,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11438,"10,00,000"
81,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11432,"10,00,000"
82,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11444,"10,00,000"
83,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11443,"10,00,000"
84,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11446,"10,00,000"
85,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,11442,"10,00,000"
86,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7045,"1,00,00,000"
87,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7041,"1,00,00,000"
88,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7025,"1,00,00,000"
89,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7051,"1,00,00,000"
90,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7035,"1,00,00,000"
91,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7059,"1,00,00,000"
92,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7037,"1,00,00,000"
93,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7033,"1,00,00,000"
94,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7053,"1,00,00,000"
95,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7061,"1,00,00,000"
96,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7029,"1,00,00,000"
97,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7049,"1,00,00,000"
98,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7057,"1,00,00,000"
99,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7043,"1,00,00,000"
100,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7039,"1,00,00,000"
101,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7047,"1,00,00,000"
102,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7027,"1,00,00,000"
103,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7055,"1,00,00,000"
104,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7031,"1,00,00,000"
105,00300201904120000001168,12/Apr/2019,GRASIM INDUSTRIES LTD,7023,"1,00,00,000"
106,00509201904120000001161,12/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3410,"10,00,000"
107,00509201904120000001161,12/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3407,"10,00,000"
108,00509201904120000001161,12/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,3412,"10,00,000"
109,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,11557,"10,00,000"
110,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,11558,"10,00,000"
111,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,1133,"1,00,000"
112,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,1127,"1,00,000"
113,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,1131,"1,00,000"
114,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,1130,"1,00,000"
115,00001201904120000001179,12/Apr/2019,INNOCENT MERCHANDISE PVT LTD,1132,"1,00,000"
116,00078201904120000001157,12/Apr/2019,KAMLANG SAW & VENEER MILLS PVT LTD,2344,"10,00,000"
117,00078201904120000001157,12/Apr/2019,KAMLANG SAW & VENEER MILLS PVT LTD,2341,"10,00,000"
118,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5485,"1,00,00,000"
119,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5465,"1,00,00,000"
120,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5497,"1,00,00,000"
121,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5510,"1,00,00,000"
122,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5484,"1,00,00,000"
123,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5522,"1,00,00,000"
124,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5490,"1,00,00,000"
125,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5496,"1,00,00,000"
126,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5456,"1,00,00,000"
127,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5469,"1,00,00,000"
128,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5495,"1,00,00,000"
129,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5503,"1,00,00,000"
130,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5486,"1,00,00,000"
131,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5482,"1,00,00,000"
132,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5502,"1,00,00,000"
133,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5500,"1,00,00,000"
134,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5483,"1,00,00,000"
135,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5479,"1,00,00,000"
136,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5473,"1,00,00,000"
137,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5518,"1,00,00,000"
138,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5476,"1,00,00,000"
139,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5501,"1,00,00,000"
140,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5489,"1,00,00,000"
141,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5487,"1,00,00,000"
142,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5499,"1,00,00,000"
143,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5452,"1,00,00,000"
144,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5480,"1,00,00,000"
145,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5494,"1,00,00,000"
146,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5516,"1,00,00,000"
147,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5520,"1,00,00,000"
148,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5506,"1,00,00,000"
149,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5511,"1,00,00,000"
150,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5507,"1,00,00,000"
151,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5505,"1,00,00,000"
152,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5512,"1,00,00,000"
153,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5504,"1,00,00,000"
154,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5508,"1,00,00,000"
155,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5493,"1,00,00,000"
156,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5514,"1,00,00,000"
157,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5478,"1,00,00,000"
158,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5498,"1,00,00,000"
159,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5524,"1,00,00,000"
160,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5488,"1,00,00,000"
161,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5477,"1,00,00,000"
162,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5492,"1,00,00,000"
163,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5491,"1,00,00,000"
164,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5513,"1,00,00,000"
165,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5461,"1,00,00,000"
166,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5509,"1,00,00,000"
167,00847201904120000001164,12/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,5481,"1,00,00,000"
168,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,11450,"10,00,000"
169,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,11449,"10,00,000"
170,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,1121,"1,00,000"
171,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,1120,"1,00,000"
172,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,1123,"1,00,000"
173,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,1116,"1,00,000"
174,00001201904120000001176,12/Apr/2019,MERLIN RECREATION PVT LTD,1122,"1,00,000"
175,00813201904120000001162,12/Apr/2019,MSPL LTD,588,"1,00,00,000"
176,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,2357,"10,00,000"
177,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,10036,"1,00,000"
178,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,10032,"1,00,000"
179,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,10038,"1,00,000"
180,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,10034,"1,00,000"
181,00078201904120000001167,12/Apr/2019,MYRIAD DEVELOPERS,10030,"1,00,000"
182,00300201904120000001175,12/Apr/2019,OMKAR VENTURES PVT LTD,7070,"1,00,00,000"
183,00300201904120000001175,12/Apr/2019,OMKAR VENTURES PVT LTD,7066,"1,00,00,000"
184,00300201904120000001175,12/Apr/2019,OMKAR VENTURES PVT LTD,7068,"1,00,00,000"
185,00300201904120000001175,12/Apr/2019,OMKAR VENTURES PVT LTD,7064,"1,00,00,000"
186,01355201904120000001169,12/Apr/2019,PATEL HIGHWAY MANAGEMENT PVT LTD,2855,"1,00,00,000"
187,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7018,"1,00,00,000"
188,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7052,"1,00,00,000"
189,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6678,"1,00,00,000"
190,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6684,"1,00,00,000"
191,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7002,"1,00,00,000"
192,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7048,"1,00,00,000"
193,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7020,"1,00,00,000"
194,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7008,"1,00,00,000"
195,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6694,"1,00,00,000"
196,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7024,"1,00,00,000"
197,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7006,"1,00,00,000"
198,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7026,"1,00,00,000"
199,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7028,"1,00,00,000"
200,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6690,"1,00,00,000"
201,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6700,"1,00,00,000"
202,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7044,"1,00,00,000"
203,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6698,"1,00,00,000"
204,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7022,"1,00,00,000"
205,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6674,"1,00,00,000"
206,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7004,"1,00,00,000"
207,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7030,"1,00,00,000"
208,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6688,"1,00,00,000"
209,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7046,"1,00,00,000"
210,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7014,"1,00,00,000"
211,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6682,"1,00,00,000"
212,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7036,"1,00,00,000"
213,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7050,"1,00,00,000"
214,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6692,"1,00,00,000"
215,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7038,"1,00,00,000"
216,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7010,"1,00,00,000"
217,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7012,"1,00,00,000"
218,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6676,"1,00,00,000"
219,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7034,"1,00,00,000"
220,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6686,"1,00,00,000"
221,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6680,"1,00,00,000"
222,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7032,"1,00,00,000"
223,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7040,"1,00,00,000"
224,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7016,"1,00,00,000"
225,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,6696,"1,00,00,000"
226,00300201904120000001158,12/Apr/2019,PHL FINIVEST PVT LTD,7042,"1,00,00,000"
227,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6699,"1,00,00,000"
228,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6683,"1,00,00,000"
229,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6687,"1,00,00,000"
230,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6695,"1,00,00,000"
231,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,7001,"1,00,00,000"
232,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6697,"1,00,00,000"
233,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6691,"1,00,00,000"
234,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6693,"1,00,00,000"
235,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6685,"1,00,00,000"
236,00300201904120000001159,12/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,6689,"1,00,00,000"
237,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7007,"1,00,00,000"
238,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7005,"1,00,00,000"
239,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7015,"1,00,00,000"
240,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7013,"1,00,00,000"
241,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7019,"1,00,00,000"
242,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7011,"1,00,00,000"
243,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7021,"1,00,00,000"
244,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7003,"1,00,00,000"
245,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7009,"1,00,00,000"
246,00300201904120000001160,12/Apr/2019,PIRAMAL ENTERPRISES LTD,7017,"1,00,00,000"
247,00847201904120000001180,12/Apr/2019,PONUGOTI HEMENDAR RAO,23643,"1,00,000"
248,00847201904120000001180,12/Apr/2019,PONUGOTI HEMENDAR RAO,23641,"1,00,000"
249,00847201904120000001180,12/Apr/2019,PONUGOTI HEMENDAR RAO,23645,"1,00,000"
250,00300201904120000001171,12/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,7065,"1,00,00,000"
251,00300201904120000001171,12/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,7067,"1,00,00,000"
252,00300201904120000001171,12/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,7063,"1,00,00,000"
253,00300201904120000001171,12/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,7069,"1,00,00,000"
254,00300201904120000001171,12/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,7071,"1,00,00,000"
255,00300201904120000001172,12/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,7058,"1,00,00,000"
256,00300201904120000001172,12/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,7056,"1,00,00,000"
257,00300201904120000001172,12/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,7054,"1,00,00,000"
258,00300201904120000001172,12/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,7062,"1,00,00,000"
259,00300201904120000001172,12/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,7060,"1,00,00,000"
260,00078201904120000001170,12/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,2351,"10,00,000"
261,00078201904120000001170,12/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,2353,"10,00,000"
